retailer_id,territory_id,state,district,tehsil,last_visit_date,last_visit_days,sales_qty_30,sales_value_30,transactions_30,sales_qty_7,sales_value_7,transactions_7,sales_growth_ratio,total_stock_qty,unique_skus,stock_status,recommended_sku_id,recommended_product,product_sales_qty_30,grower_count,avg_farm_size,product_scans,campaign_attendance,total_messages,total_opened,total_clicked,engagement_rate,sales_demand_score,stock_alert_score,last_visit_gap_score,product_relevance_score,grower_engagement_score,visit_priority_score,priority_level,recommended_action,explanation
RTL_00001,TER_0001,Bihar,Patna,Patna_T012,2026-03-13,23.0,44.0,77152.58,8.0,0.0,0.0,0.0,0.0,163,3,Good Stock,SY_TILT_250EC,Tilt 250 EC,26.0,1.0,2.87,0.0,1.0,1.0,0.0,0.0,0.0,6.136680613668061,77.85326086956522,30.18867924528302,8.904109589041095,1.7857142857142856,28.85624311747592,Low,Monitor retailer and schedule visit later.,Current retailer stock is low
RTL_00002,TER_0001,Bihar,Patna,Patna_T004,2026-03-15,21.0,36.0,47937.96,13.0,0.0,0.0,0.0,0.0,72,4,Good Stock,SY_AXI_50EC,Axial 50 EC,17.0,3.0,1.23,0.0,3.0,1.0,1.0,0.0,0.0,5.02092050209205,90.21739130434783,26.41509433962264,5.821917808219178,5.357142857142857,30.752644801586264,Low,Monitor retailer and schedule visit later.,Current retailer stock is low
RTL_00003,TER_0001,Bihar,Patna,Patna_T002,2026-03-15,21.0,88.0,89680.03,11.0,1.0,1935.86,1.0,0.011235955056179775,124,3,Good Stock,SY_CRU_350FS,Cruiser 350 FS,46.0,1.0,1.38,0.0,1.0,1.0,0.0,0.0,0.0,12.552301255230125,83.15217391304347,26.41509433962264,15.753424657534246,1.7857142857142856,32.378337849956,Low,Monitor retailer and schedule visit later.,Current retailer stock is low
RTL_00004,TER_0001,Bihar,Patna,Patna_T007,2026-03-12,24.0,119.0,156378.53,12.0,0.0,0.0,0.0,0.0,192,3,Good Stock,SY_AMI_250SC,Amistar 250 SC,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.596931659693166,73.91304347826087,32.075471698113205,33.21917808219178,0.0,34.855311419424574,Low,Monitor retailer and schedule visit later.,Current retailer stock is low
RTL_00005,TER_0001,Bihar,Patna,Patna_T007,2026-03-12,24.0,24.0,38468.35,6.0,0.0,0.0,0.0,0.0,128,2,Good Stock,SY_MOV_60,Movondo,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3472803347280333,82.6086956521739,32.075471698113205,4.4520547945205475,0.0,28.73926057226261,Low,Monitor retailer and schedule visit later.,Current retailer stock is low
RTL_00006,TER_0001,Bihar,Patna,Patna_T006,2026-03-08,28.0,180.0,241250.86,12.0,0.0,0.0,0.0,0.0,153,4,Good Stock,SY_CRU_350FS,Cruiser 350 FS,96.0,1.0,1.39,1.0,1.0,1.0,0.0,0.0,0.0,25.10460251046025,79.21195652173913,39.62264150943396,32.87671232876712,1.7857142857142856,40.36897646334615,Medium,Plan visit this week and check demand for Cruiser 350 FS.,Current retailer stock is low
RTL_00007,TER_0001,Bihar,Patna,Patna_T009,2026-03-10,26.0,93.0,91110.06,11.0,13.0,7348.639999999999,1.0,0.13829787234042554,189,3,Good Stock,SY_AXI_50EC,Axial 50 EC,41.0,2.0,1.625,0.0,2.0,2.0,0.0,0.0,0.0,16.596931659693166,74.32065217391305,35.84905660377358,14.04109589041096,3.571428571428571,33.192361102845425,Low,Monitor retailer and schedule visit later.,Current retailer stock is low
RTL_00008,TER_0001,Bihar,Patna,Patna_T008,2026-03-15,21.0,14.0,19993.85,7.0,0.0,0.0,0.0,0.0,301,3,Good Stock,SY_CRU_350FS,Cruiser 350 FS,9.0,1.0,2.98,0.0,1.0,0.0,0.0,0.0,0.0,1.9525801952580195,59.10326086956522,26.41509433962264,3.0821917808219177,1.7857142857142856,21.285508339587956,Low,Monitor retailer and schedule visit later.,"Priority is based on combined sales, stock, visit and grower signals"
RTL_00009,TER_0001,Bihar,Patna,Patna_T007,2026-03-12,24.0,27.0,45524.5,7.0,0.0,0.0,0.0,0.0,311,4,Good Stock,SY_VER_18EC,Vertimec 1.8 EC,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.765690376569038,57.744565217391305,32.075471698113205,4.10958904109589,0.0,22.597381113105563,Low,Monitor retailer and schedule visit later.,"Priority is based on combined sales, stock, visit and grower signals"
RTL_00010,TER_0002,Haryana,Hisar,Hisar_T001,2026-03-14,22.0,47.0,68223.28,5.0,0.0,0.0,0.0,0.0,219,2,Good Stock,SY_MOV_60,Movondo,39.0,5.0,0.85,1.0,2.0,5.0,2.0,0.0,0.0,6.5550906555090656,70.2445652173913,28.30188679245283,13.356164383561644,8.928571428571429,28.0843276598825,Low,Monitor retailer and schedule visit later.,Current retailer stock is low
RTL_00011,TER_0002,Haryana,Hisar,Hisar_T004,2026-03-09,27.0,40.0,56411.21000000001,4.0,0.0,0.0,0.0,0.0,233,3,Good Stock,SY_AMI_250SC,Amistar 250 SC,21.0,1.0,1.06,0.0,1.0,1.0,0.0,0.0,0.0,5.578800557880056,68.34239130434783,37.735849056603776,7.191780821917808,1.7857142857142856,27.56374635663083,Low,Monitor retailer and schedule visit later.,"Priority is based on combined sales, stock, visit and grower signals"
